Time,CO2,th02Temp,humidity,bmp280Temp,pressure,altitude,lux,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z,gps_lat,gps_lon,gps_alt
2018-10-25T18:3:16,546.00,20.48,49.13,21.99,102090.07,-63.50,3166.79,0.04,0.03,0.96,-2.82,-1.98,-4.92,38.137363,-121.300178,12.00
2018-10-25T18:3:18,548.00,20.48,49.11,21.99,102091.42,-63.62,4667.32,0.02,0.03,0.96,-2.85,-2.00,-4.89,38.137355,-121.300163,12.00
2018-10-25T18:3:20,549.00,20.48,48.99,22.01,102100.13,-64.34,5189.94,0.03,0.05,0.96,-2.85,-1.90,-4.88,38.137355,-121.300163,12.00
2018-10-25T18:3:22,550.00,20.49,49.06,22.01,102096.19,-63.91,4680.56,0.03,0.03,0.94,-2.85,-1.90,-4.90,38.137355,-121.300163,12.00
2018-10-25T18:3:24,549.00,20.50,48.98,22.02,102098.55,-64.21,5545.45,0.03,0.04,0.96,-2.82,-1.91,-4.89,38.137359,-121.300163,12.00
2018-10-25T18:3:25,548.00,20.53,49.08,22.06,102094.43,-63.86,4158.02,0.01,0.02,0.93,-2.86,-1.85,-4.86,38.137359,-121.300163,12.00
2018-10-25T18:3:27,548.00,20.59,49.34,22.08,102097.85,-64.15,4126.22,0.00,0.08,0.99,-2.93,-1.60,-4.79,38.137359,-121.300163,12.00
2018-10-25T18:3:29,548.00,20.60,49.50,22.11,102102.93,-64.02,5608.36,0.05,0.02,0.94,-2.86,-1.90,-4.77,38.137359,-121.300163,12.00
2018-10-25T18:3:30,548.00,20.63,49.62,22.12,102109.46,-65.11,5797.75,0.02,0.05,0.96,-2.90,-1.67,-4.81,38.137359,-121.300163,12.00
2018-10-25T18:3:32,547.00,20.66,50.28,22.14,102105.36,-64.77,6167.22,0.02,0.04,0.96,-2.89,-1.69,-4.81,38.137359,-121.300163,12.00
2018-10-25T18:3:34,546.00,20.70,50.81,22.17,102078.05,-62.41,3283.12,0.02,0.02,0.97,-2.89,-1.90,-4.82,38.137359,-121.300170,12.00
2018-10-25T18:3:35,546.00,20.75,52.68,22.22,102113.19,-65.42,6872.07,0.03,0.04,0.96,-2.92,-1.66,-4.80,38.137355,-121.300163,12.00
2018-10-25T18:3:37,545.00,20.78,53.13,22.24,102103.05,-64.58,7688.82,0.03,0.05,0.96,-2.95,-1.58,-4.77,38.137351,-121.300155,12.00
2018-10-25T18:3:39,545.00,20.78,52.88,22.23,102097.72,-63.69,6533.93,0.02,0.06,0.95,-2.94,-1.57,-4.75,38.137355,-121.300163,12.00
2018-10-25T18:3:41,545.00,20.74,52.09,22.19,102093.14,-63.76,5323.04,0.04,0.06,0.95,-2.96,-1.55,-4.76,38.137355,-121.300155,12.00
2018-10-25T18:3:42,545.00,20.71,50.91,22.19,102096.02,-64.00,6011.43,0.02,0.05,0.95,-2.93,-1.59,-4.75,38.137355,-121.300155,12.00
2018-10-25T18:3:44,544.00,20.67,50.39,22.18,102107.64,-64.96,7440.30,0.03,0.05,0.95,-2.95,-1.59,-4.75,38.137351,-121.300155,12.00
2018-10-25T18:3:46,544.00,20.62,49.77,22.16,102107.23,-64.93,8011.30,0.03,0.05,0.95,-2.94,-1.59,-4.78,38.137351,-121.300140,12.00
2018-10-25T18:3:48,543.00,20.63,49.81,22.15,102116.10,-65.55,8781.25,0.04,0.06,0.96,-2.94,-1.55,-4.76,38.137348,-121.300155,12.00
2018-10-25T18:3:49,543.00,20.62,49.97,22.15,102121.36,-66.09,9888.56,0.03,0.05,0.96,-2.94,-1.59,-4.75,38.137348,-121.300155,12.00
2018-10-25T18:3:51,543.00,20.64,50.55,22.17,102129.91,-66.80,9719.66,0.03,0.06,0.95,-2.95,-1.53,-4.77,38.137348,-121.300155,12.00
2018-10-25T18:3:53,543.00,20.67,51.45,22.20,102123.96,-66.31,9715.47,0.04,0.06,0.95,-2.94,-1.58,-4.76,38.137348,-121.300155,12.00
2018-10-25T18:3:55,544.00,20.71,51.83,22.22,102119.80,-65.97,9682.54,0.03,0.05,0.95,-2.93,-1.57,-4.76,1.184817,0.000000,0.00
2018-10-25T18:3:56,545.00,20.71,51.65,22.21,102122.71,-66.20,9763.70,0.03,0.06,0.96,-2.93,-1.59,-4.73,38.137344,-121.300155,0.00
2018-10-25T18:3:58,546.00,20.71,50.99,22.22,102118.11,-65.82,9827.56,0.03,0.04,0.94,-2.94,-1.59,-4.74,38.137344,-121.300155,8.40
2018-10-25T18:3:59,546.00,20.74,50.60,22.24,102118.82,-65.88,9838.04,0.04,0.05,0.96,-2.94,-1.57,-4.76,38.137344,-121.300155,8.40
2018-10-25T18:4:1,547.00,20.75,50.23,22.27,102119.82,-65.97,9966.48,0.02,0.05,0.95,-2.96,-1.55,-4.74,38.137344,-121.300155,8.40
2018-10-25T18:4:2,547.00,20.74,49.62,22.27,102114.07,-65.49,10144.74,0.03,0.05,0.95,-2.95,-1.56,-4.76,38.137340,-121.300155,8.40
2018-10-25T18:4:4,547.00,20.74,49.25,22.27,102114.22,-65.50,9590.12,0.03,0.06,0.96,-2.92,-1.61,-4.76,38.137340,-121.300155,8.40
2018-10-25T18:4:5,547.00,20.75,49.19,22.30,102115.06,-65.57,9691.28,0.03,0.05,0.96,-2.92,-1.59,-4.76,38.137340,-121.300155,8.40
2018-10-25T18:4:7,548.00,20.77,49.19,22.34,102112.48,-65.30,9268.73,0.03,0.05,0.95,-2.94,-1.62,-4.76,38.137340,-121.300155,8.80
2018-10-25T18:4:8,548.00,20.80,49.28,22.35,102119.22,-65.92,9947.19,0.03,0.06,0.95,-2.92,-1.62,-4.76,38.137340,-121.300155,8.80
2018-10-25T18:4:10,548.00,20.78,49.19,22.34,102120.11,-65.99,9728.13,0.03,0.05,0.94,-2.93,-1.59,-4.76,38.137340,-121.300155,8.90
2018-10-25T18:4:11,548.00,20.80,48.96,22.36,102116.95,-65.73,9596.48,0.03,0.05,0.95,-2.94,-1.62,-4.74,38.137340,-121.300155,8.90
2018-10-25T18:4:13,549.00,20.81,48.93,22.40,102117.08,-65.67,9564.75,0.03,0.05,0.96,-2.91,-1.61,-4.76,38.137340,-121.300155,8.90
2018-10-25T18:4:14,549.00,20.80,48.71,22.38,102119.53,-65.95,9637.29,0.03,0.05,0.96,-2.94,-1.63,-4.74,38.137340,-121.300155,8.90
2018-10-25T18:4:16,549.00,20.80,48.56,22.39,102121.72,-66.13,9661.28,0.02,0.06,0.95,-2.94,-1.65,-4.75,38.137340,-121.300155,8.90
2018-10-25T18:4:17,549.00,20.81,48.39,22.40,102124.38,-66.34,10099.38,0.07,0.07,0.88,-2.93,-1.63,-4.74,38.137340,-121.300155,8.90
2018-10-25T18:4:19,550.00,20.80,48.09,22.38,102126.32,-66.50,10168.22,0.03,0.05,0.96,-2.93,-1.60,-4.74,38.137340,-121.300155,9.00
2018-10-25T18:4:20,551.00,20.78,47.83,22.38,102124.96,-66.39,10235.17,0.03,0.05,0.96,-2.95,-1.62,-4.77,38.137340,-121.300155,9.00
2018-10-25T18:4:22,552.00,20.80,48.01,22.40,102123.02,-66.23,10160.55,0.04,0.05,0.95,-2.93,-1.61,-4.74,38.137340,-121.300155,8.90
